"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2025";"0000";"12,9";"13,0";"12,9";"96,0";"97,0";"96,0";"12,2";"12,5";"12,2";"865,4";"865,7";"865,3";"1,3";"84,0";"2,2";"";"0,6"
"01/10/2025";"0100";"12,9";"13,0";"12,8";"95,0";"96,0";"95,0";"12,1";"12,3";"12,0";"865,4";"865,9";"865,4";"0,0";"335,0";"1,9";"";"0,0"
"01/10/2025";"0200";"12,8";"13,0";"12,6";"96,0";"96,0";"95,0";"12,2";"12,3";"11,9";"865,9";"865,9";"865,4";"0,0";"302,0";"1,1";"";"0,0"
"01/10/2025";"0300";"12,7";"12,9";"12,7";"97,0";"97,0";"96,0";"12,2";"12,3";"12,1";"866,0";"866,0";"865,7";"0,1";"320,0";"1,4";"0,30";"0,6"
"01/10/2025";"0400";"12,8";"12,8";"12,7";"97,0";"97,0";"97,0";"12,3";"12,3";"12,2";"865,5";"866,0";"865,5";"0,2";"327,0";"1,4";"";"0,0"
"01/10/2025";"0500";"12,6";"12,8";"12,6";"97,0";"97,0";"97,0";"12,2";"12,3";"12,2";"865,2";"865,6";"865,0";"0,0";"334,0";"1,3";"";"0,2"
"01/10/2025";"0600";"12,4";"12,6";"12,3";"98,0";"98,0";"97,0";"12,0";"12,3";"11,9";"864,8";"865,2";"864,8";"0,0";"262,0";"0,5";"";"0,0"
"01/10/2025";"0700";"12,6";"12,6";"12,3";"98,0";"98,0";"98,0";"12,2";"12,2";"12,0";"864,9";"865,1";"864,6";"0,0";"95,0";"0,0";"0,20";"0,0"
"01/10/2025";"0800";"12,3";"12,6";"12,3";"98,0";"98,0";"98,0";"12,0";"12,2";"12,0";"865,0";"865,0";"864,8";"0,8";"126,0";"1,5";"0,50";"0,0"
"01/10/2025";"0900";"12,0";"12,3";"11,9";"98,0";"98,0";"98,0";"11,7";"12,0";"11,7";"865,9";"865,9";"865,0";"1,0";"127,0";"1,5";"0,90";"0,0"
"01/10/2025";"1000";"12,3";"12,3";"11,9";"98,0";"98,0";"98,0";"12,0";"12,0";"11,7";"866,2";"866,3";"865,8";"1,4";"138,0";"2,1";"94,80";"0,0"
"01/10/2025";"1100";"12,7";"12,8";"12,3";"96,0";"98,0";"96,0";"12,1";"12,2";"12,0";"867,1";"867,1";"866,2";"1,7";"140,0";"3,0";"474,00";"0,0"
"01/10/2025";"1200";"12,9";"13,3";"12,6";"94,0";"96,0";"93,0";"12,0";"12,4";"11,9";"867,6";"867,6";"867,1";"2,0";"125,0";"3,7";"641,10";"0,0"
"01/10/2025";"1300";"13,8";"13,8";"12,9";"92,0";"95,0";"90,0";"12,5";"12,5";"11,8";"867,8";"867,8";"867,5";"2,2";"118,0";"3,8";"1237,70";"0,0"
"01/10/2025";"1400";"14,9";"15,7";"13,8";"85,0";"92,0";"83,0";"12,5";"13,7";"12,0";"867,9";"868,0";"867,7";"1,6";"134,0";"3,3";"1925,90";"0,0"
"01/10/2025";"1500";"14,7";"15,1";"14,2";"87,0";"89,0";"83,0";"12,5";"12,9";"12,0";"867,7";"868,2";"867,7";"1,9";"134,0";"3,4";"1241,30";"0,0"
"01/10/2025";"1600";"13,7";"14,7";"13,7";"88,0";"91,0";"85,0";"11,7";"12,6";"11,7";"867,5";"867,7";"867,4";"1,7";"144,0";"3,4";"1031,00";"0,0"
"01/10/2025";"1700";"14,1";"14,8";"13,6";"89,0";"90,0";"85,0";"12,3";"12,5";"11,7";"867,2";"867,5";"867,2";"1,6";"153,0";"3,2";"840,60";"0,0"
"01/10/2025";"1800";"15,0";"15,0";"13,8";"86,0";"89,0";"84,0";"12,6";"12,6";"11,7";"867,0";"867,2";"867,0";"2,4";"128,0";"3,4";"1181,10";"0,0"
"01/10/2025";"1900";"14,8";"15,9";"14,4";"87,0";"88,0";"76,0";"12,6";"12,9";"11,6";"866,9";"867,0";"866,7";"2,3";"147,0";"4,2";"1794,50";"0,0"
"01/10/2025";"2000";"14,2";"14,8";"13,9";"89,0";"90,0";"86,0";"12,3";"12,5";"11,9";"867,1";"867,1";"866,9";"2,5";"137,0";"4,5";"895,20";"0,0"
"01/10/2025";"2100";"12,6";"14,2";"12,5";"96,0";"96,0";"88,0";"12,0";"12,6";"11,8";"867,8";"867,8";"867,1";"2,0";"139,0";"3,6";"235,10";"0,0"
"01/10/2025";"2200";"12,2";"12,6";"12,0";"96,0";"97,0";"95,0";"11,6";"12,0";"11,4";"867,8";"867,9";"867,6";"1,9";"132,0";"3,6";"8,90";"0,0"
"01/10/2025";"2300";"12,0";"12,2";"12,0";"96,0";"96,0";"96,0";"11,3";"11,6";"11,3";"867,9";"867,9";"867,6";"1,7";"123,0";"3,0";"0,20";"0,0"
"02/10/2025";"0000";"11,8";"12,0";"11,7";"96,0";"96,0";"95,0";"11,1";"11,3";"11,0";"868,2";"868,2";"867,9";"1,7";"127,0";"3,4";"0,10";"0,0"
"02/10/2025";"0100";"11,4";"11,8";"11,4";"97,0";"97,0";"96,0";"11,0";"11,1";"10,9";"868,3";"868,5";"868,2";"1,6";"128,0";"3,2";"0,10";"0,0"
"02/10/2025";"0200";"11,3";"11,4";"11,2";"97,0";"97,0";"97,0";"10,8";"11,0";"10,8";"868,0";"868,3";"868,0";"1,4";"104,0";"2,9";"0,30";"0,0"
"02/10/2025";"0300";"11,1";"11,4";"11,1";"96,0";"97,0";"95,0";"10,5";"10,8";"10,5";"867,9";"868,1";"867,9";"1,4";"116,0";"3,1";"";"0,0"
"02/10/2025";"0400";"11,0";"11,2";"10,9";"96,0";"97,0";"96,0";"10,4";"10,6";"10,4";"867,3";"867,9";"867,3";"0,4";"94,0";"2,4";"";"0,0"
"02/10/2025";"0500";"11,0";"11,1";"10,9";"97,0";"97,0";"96,0";"10,6";"10,6";"10,4";"866,9";"867,3";"866,9";"0,1";"64,0";"2,0";"";"0,0"
"02/10/2025";"0600";"11,8";"11,8";"11,0";"95,0";"97,0";"94,0";"11,0";"11,0";"10,6";"866,4";"867,0";"866,4";"1,0";"44,0";"2,3";"";"0,0"
"02/10/2025";"0700";"11,9";"12,0";"11,8";"95,0";"95,0";"95,0";"11,1";"11,2";"11,1";"866,2";"866,5";"866,1";"0,0";"51,0";"2,3";"";"0,0"
"02/10/2025";"0800";"11,2";"12,0";"11,1";"97,0";"97,0";"95,0";"10,7";"11,1";"10,5";"866,3";"866,3";"866,1";"0,0";"94,0";"0,5";"";"0,0"
"02/10/2025";"0900";"12,5";"12,5";"11,1";"93,0";"97,0";"93,0";"11,4";"11,5";"10,6";"866,9";"866,9";"866,3";"0,6";"38,0";"1,4";"0,10";"0,0"
"02/10/2025";"1000";"12,1";"12,6";"12,1";"95,0";"96,0";"92,0";"11,4";"11,5";"11,4";"867,6";"867,6";"866,9";"0,7";"20,0";"2,8";"64,80";"0,0"
"02/10/2025";"1100";"12,9";"12,9";"12,1";"89,0";"95,0";"89,0";"11,1";"11,4";"10,9";"868,1";"868,2";"867,6";"1,5";"58,0";"2,9";"431,30";"0,0"
"02/10/2025";"1200";"14,7";"14,8";"12,9";"84,0";"89,0";"83,0";"12,1";"12,1";"11,2";"868,4";"868,4";"868,0";"1,6";"61,0";"3,8";"1274,20";"0,0"
"02/10/2025";"1300";"16,3";"16,3";"14,7";"78,0";"85,0";"78,0";"12,4";"12,7";"11,9";"868,4";"868,5";"868,3";"2,7";"46,0";"4,7";"1670,80";"0,0"
"02/10/2025";"1400";"16,3";"17,4";"15,9";"77,0";"80,0";"74,0";"12,3";"13,2";"12,0";"868,3";"868,5";"868,3";"2,2";"41,0";"4,8";"2475,90";"0,0"
"02/10/2025";"1500";"17,2";"17,3";"16,3";"76,0";"80,0";"76,0";"13,0";"13,4";"12,5";"867,7";"868,3";"867,7";"2,3";"46,0";"4,7";"2235,90";"0,0"
"02/10/2025";"1600";"17,1";"18,2";"16,9";"76,0";"78,0";"73,0";"13,0";"13,9";"12,5";"867,5";"867,8";"867,4";"1,1";"39,0";"4,2";"1870,50";"0,0"
"02/10/2025";"1700";"17,0";"17,8";"16,7";"78,0";"79,0";"74,0";"13,2";"13,8";"12,4";"866,9";"867,5";"866,9";"1,8";"44,0";"3,5";"1312,10";"0,0"
"02/10/2025";"1800";"16,6";"17,3";"16,6";"78,0";"80,0";"76,0";"12,7";"13,7";"12,7";"866,3";"866,9";"866,3";"1,1";"16,0";"3,6";"1133,30";"0,0"
"02/10/2025";"1900";"15,6";"16,7";"15,5";"85,0";"85,0";"78,0";"13,0";"13,4";"12,9";"866,4";"866,4";"866,3";"0,9";"9,0";"2,9";"576,00";"0,0"
"02/10/2025";"2000";"15,1";"15,7";"15,1";"86,0";"86,0";"84,0";"12,8";"13,1";"12,7";"866,4";"866,6";"866,3";"0,8";"26,0";"2,4";"257,60";"0,0"
"02/10/2025";"2100";"14,7";"15,2";"14,7";"88,0";"88,0";"86,0";"12,7";"12,9";"12,7";"866,7";"866,7";"866,4";"1,4";"10,0";"4,0";"165,00";"0,0"
"02/10/2025";"2200";"14,2";"14,7";"14,2";"91,0";"91,0";"88,0";"12,8";"12,8";"12,7";"867,0";"867,1";"866,7";"0,8";"18,0";"4,0";"6,60";"0,0"
"02/10/2025";"2300";"14,1";"14,3";"14,1";"89,0";"91,0";"89,0";"12,3";"12,8";"12,3";"866,9";"867,0";"866,8";"1,7";"24,0";"4,5";"";"0,0"
"03/10/2025";"0000";"13,7";"14,1";"13,6";"90,0";"90,0";"88,0";"12,0";"12,4";"12,0";"866,8";"866,9";"866,7";"1,7";"19,0";"4,5";"";"0,0"
"03/10/2025";"0100";"13,4";"13,7";"13,4";"90,0";"90,0";"89,0";"11,8";"12,0";"11,8";"866,8";"867,0";"866,8";"2,1";"19,0";"5,3";"";"0,0"
"03/10/2025";"0200";"13,3";"13,5";"13,2";"91,0";"91,0";"90,0";"11,8";"11,9";"11,8";"866,2";"866,8";"866,2";"2,5";"14,0";"6,0";"";"0,0"
"03/10/2025";"0300";"13,2";"13,3";"13,2";"90,0";"92,0";"90,0";"11,6";"11,9";"11,5";"865,5";"866,3";"865,5";"3,1";"15,0";"7,0";"";"0,0"
"03/10/2025";"0400";"13,1";"13,2";"13,0";"92,0";"92,0";"90,0";"11,8";"11,8";"11,5";"865,5";"865,6";"865,5";"1,5";"5,0";"7,0";"";"0,0"
"03/10/2025";"0500";"13,2";"13,2";"13,0";"91,0";"92,0";"91,0";"11,8";"11,8";"11,6";"864,9";"865,6";"864,9";"1,4";"11,0";"4,7";"";"0,0"
"03/10/2025";"0600";"13,2";"13,3";"13,2";"91,0";"92,0";"91,0";"11,8";"11,9";"11,8";"864,2";"865,0";"864,1";"1,5";"12,0";"3,8";"";"0,0"
"03/10/2025";"0700";"12,8";"13,3";"12,7";"93,0";"93,0";"87,0";"11,7";"11,8";"11,0";"863,6";"864,2";"863,6";"1,8";"9,0";"4,6";"";"0,2"
"03/10/2025";"0800";"13,1";"13,1";"12,8";"94,0";"94,0";"93,0";"12,1";"12,1";"11,7";"863,7";"863,9";"863,6";"1,1";"27,0";"5,8";"";"0,2"
"03/10/2025";"0900";"13,1";"13,2";"13,0";"95,0";"95,0";"93,0";"12,3";"12,3";"12,1";"864,7";"864,7";"863,7";"0,4";"360,0";"3,4";"";"0,4"
"03/10/2025";"1000";"13,0";"13,1";"12,9";"96,0";"96,0";"95,0";"12,4";"12,5";"12,2";"865,0";"865,0";"864,7";"1,1";"56,0";"2,3";"19,90";"2,8"
"03/10/2025";"1100";"13,5";"13,5";"13,0";"94,0";"96,0";"94,0";"12,6";"12,6";"12,5";"865,3";"865,3";"864,9";"1,2";"33,0";"2,3";"188,10";"2,2"
"03/10/2025";"1200";"13,4";"13,7";"13,4";"94,0";"94,0";"93,0";"12,4";"12,7";"12,4";"865,7";"865,7";"865,2";"1,4";"30,0";"4,0";"494,50";"1,2"
"03/10/2025";"1300";"13,0";"13,5";"13,0";"94,0";"95,0";"94,0";"12,1";"12,6";"12,1";"865,7";"865,8";"865,7";"1,8";"33,0";"3,2";"296,70";"2,4"
"03/10/2025";"1400";"13,1";"13,1";"12,9";"94,0";"94,0";"94,0";"12,1";"12,1";"11,9";"865,5";"865,7";"865,4";"1,3";"23,0";"3,7";"290,10";"0,4"
"03/10/2025";"1500";"13,1";"13,1";"12,9";"95,0";"95,0";"94,0";"12,2";"12,2";"12,0";"864,9";"865,6";"864,9";"1,9";"14,0";"4,6";"591,00";"1,6"
"03/10/2025";"1600";"13,2";"13,3";"13,0";"95,0";"96,0";"95,0";"12,5";"12,6";"12,2";"864,4";"865,0";"864,4";"1,1";"13,0";"4,8";"644,80";"0,6"
"03/10/2025";"1700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/10/2025";"1800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/10/2025";"1900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/10/2025";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/10/2025";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/10/2025";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
